global_sweep,stage,stage_sweep,degree,n_terms,u_rmse,v_rmse,p_rmse,px_rmse,py_rmse,score,u_step,p_after_u_step,v_step,p_after_v_step,sweep_seconds,elapsed_seconds,is_best
17,0,17,5,56,0.012089746669400447,0.011405842782561144,0.04174906988279739,0.09136206466437709,0.0814783255586937,0.04077962847426867,0.020572074874219557,0.013979798400068483,0.018529089029362823,0.02884266716964793,11.365437354892492,204.45769638195634,1
18,0,18,5,56,0.011563348111380422,0.010920634551285894,0.040325399885955036,0.08812761588309874,0.07851751938764545,0.03914849618974074,0.020667477365239658,0.014350725140873828,0.018579084064970854,0.029341259217833572,11.370262520038523,215.82804224500433,1
19,0,19,5,56,0.011087865037564953,0.010478863934952246,0.03894496477055921,0.08503090163697696,0.07566622009289901,0.037636441145504795,0.020577997834180614,0.014530491254177807,0.01849136213537772,0.02950660772425899,11.360427935025655,227.18855502200313,1
20,0,20,5,56,0.010652131974517781,0.01007122547548732,0.03760775450683852,0.08205982458078655,0.0729174004279719,0.03622107995088095,0.020347651920465754,0.014559046293332066,0.01829405363019031,0.029412746910452058,11.363216007011943,238.55185862793587,1
21,0,21,5,56,0.01024815135163139,0.009691072473548643,0.036313643578396115,0.07920491086935993,0.0702655833940493,0.03488627325152096,0.020011438190911016,0.014469735911706779,0.01801111877726176,0.029119353836699696,11.355689984979108,249.90763524803333,1
22,0,22,5,56,0.009870143266597887,0.009333609985475654,0.03506234626578377,0.07645852047038487,0.06770629417760557,0.03362023471687259,0.01959700523821591,0.014289798354360103,0.017662570420654743,0.028674230356365828,11.354944964987226,261.26266654999927,1
23,0,23,5,56,0.009513883046611023,0.008995335916302997,0.0338534096909036,0.07381431365020702,0.06523571158805,0.032414221486739725,0.019126102686452026,0.014041211269301256,0.017264910307604443,0.028115508466374915,11.360296054976061,272.6230484850239,1
24,0,24,5,56,0.009176240866319754,0.008673654731040502,0.0326862265084656,0.07126688831240983,0.06285044737410794,0.03126162916601204,0.01861578289429695,0.01374156987939946,0.016831615996334637,0.027473508764729555,11.34972153394483,283.97285463497974,1
25,0,25,5,56,0.008854861971513365,0.008366610416413055,0.031560056604555936,0.06881153174257783,0.06054740732796154,0.030157366294980358,0.01807937331163777,0.01340488272545312,0.016373608931139778,0.026772269179683755,11.328548414981924,295.30148700694554,1
26,0,26,5,56,0.008547944235342728,0.00807270150463342,0.03047405171530307,0.06644404929619721,0.05832370451508486,0.029097421121104354,0.017527254097472984,0.013042252629516514,0.015899676247751345,0.026030787313056504,11.330112283001654,306.63168578594923,1
27,0,27,5,56,0.00825408292949413,0.0077907524878027675,0.029427279634576715,0.06416064508028121,0.05617660555441005,0.028078560480766027,0.016967476247246885,0.012662442843528928,0.015416838127763854,0.025264023579627783,11.345890403026715,317.97766167798545,1
28,0,28,5,56,0.007972161902559512,0.007519824001560332,0.02841874632822187,0.06195783795220761,0.05410349770242973,0.02709811946958358,0.016406251428693345,0.012272340260563012,0.014930661293902373,0.02448370835724669,11.338943070964888,329.31668869499117,1
29,0,29,5,56,0.0077012768491629725,0.007259149717082983,0.027447415239268084,0.059832401645715495,0.05210186890197384,0.02615385362101489,0.015848339587615758,0.011877330861621266,0.014445523032346214,0.023698990172228446,11.345177605049685,340.66194995399565,1
30,0,30,5,56,0.007440680836460847,0.0070080916930584675,0.02651222361783272,0.057781321484519595,0.0501692957998876,0.025243834257960035,0.015297355490402108,0.01148160229975076,0.01396483151454653,0.022916955661329966,11.362781813018955,352.0248172179563,1
31,0,31,5,56,0.007189745332757971,0.006766108542175714,0.025612096005081703,0.05580176258126963,0.04830343657040178,0.02436637379010083,0.014756011144772057,0.011088386907478251,0.01349120841083047,0.022143046422841737,11.366355421952903,363.3912577430019,1
32,0,32,5,56,0.006947932089879731,0.006532732540224307,0.024745955144498892,0.05389104605264949,0.04650202655942124,0.023519971891311112,0.014226307553861723,0.01070015643367748,0.013026639460587422,0.021381393091360747,11.343119482975453,374.7344737999374,1
33,0,33,5,56,0.0067147726714665325,0.006307553013969193,0.02391273064892742,0.05204663087970959,0.044762875520076136,0.022703276325414298,0.013709686445212617,0.010318777887948136,0.012572598101535748,0.020635083019752493,11.337750987964682,386.07231374597177,1
34,0,34,5,56,0.006489853404724643,0.006090204167694363,0.02311136575717292,0.05026609978409256,0.04308386569121737,0.02191505411995,0.013207150375300812,0.009945638156916107,0.012130146625353843,0.01990637473278726,11.34251602506265,397.4149195669452,1
35,0,35,5,56,0.006272804208347898,0.005880356071129259,0.022340822492991037,0.04854714799359113,0.04146295027509176,0.021154170106345446,0.012719357834692135,0.009581743598471516,0.011700018698331437,0.019196869713593984,11.343860763008706,408.7588656860171,1
36,0,36,5,56,0.006063290213249687,0.0056777079171723595,0.021600085506105933,0.046887574112885425,0.03989815206115033,0.020419570747825622,0.012246698580029988,0.009227799612355382,0.011282686503079838,0.01850764998843729,11.3769402760081,420.1359037759248,1
37,0,37,5,56,0.00586100541269195,0.005481982923140982,0.02088816483771194,0.0452852725496046,0.03838756206065279,0.01971027179685867,0.011789353314752655,0.008884274196806836,0.010878415237385607,0.017839388293619807,11.339866489986889,431.47585743293166,1
38,0,38,5,56,0.005665667800055903,0.005292924432604611,0.020204097816243324,0.043738227107010925,0.0369293380879023,0.01902534875215184,0.011347340973437769,0.008551448702901723,0.01048730725228816,0.01719243625926723,11.343213338055648,442.8191540800035,1
39,0,39,5,56,0.005477015606873954,0.0051102929021915825,0.01954695025539831,0.04224450546605983,0.03552170326569353,0.018363929382240872,0.010920556179934867,0.008229458353971713,0.01010933772247413,0.016566894964917617,11.349682150990702,454.16892096796073,1
40,0,40,5,56,0.005294804361905191,0.004933863546713833,0.018915817096495438,0.040802254357141035,0.03416294445591601,0.01772518778992473,0.010508798912332779,0.007918324582948718,0.009744383411614183,0.015962671356224072,11.335589424939826,465.50460100802593,1
41,0,41,5,56,0.005118804568320896,0.004763424478495121,0.018309822611490646,0.039409695276117554,0.03285141062830693,0.017108339637258465,0.010111797981896471,0.007617980826546844,0.009392245818426919,0.01537952332023424,11.325294248061255,476.8299823029665,1
42,0,42,5,56,0.00494879985025481,0.004598775221063255,0.017728120261241435,0.03806512063758335,0.03158551118560627,0.016512638253637028,0.009729229599617684,0.007328293086563986,0.009052669757180044,0.01481709566108202,11.335885214037262,488.1659569829935,1
43,0,43,5,56,0.004784585458756975,0.004439725508940841,0.017169892285515225,0.03676689028547837,0.03036371426468386,0.01593737142271404,0.009360732039390463,0.0070490763050795,0.008725358234948882,0.014274948774758262,11.337875122902915,499.50392132101115,1
44,0,44,5,56,0.004625967055170022,0.0042860943079579186,0.016634349086365414,0.0355134283007005,0.029184545032361744,0.015381858696434164,0.009005917197565482,0.006780107389752087,0.00840998432894367,0.013752581465191118,11.333578504971229,510.8375870710006,1
45,0,45,5,56,0.004472759710297342,0.004137709006945267,0.016120728454384337,0.03430322005944071,0.02804658399273584,0.014845449122460264,0.00866437968488978,0.006521135558895618,0.0081062006369047,0.013249449059055665,11.326472620014101,522.1641495500226,1
46,0,46,5,56,0.004324787072654294,0.003994404743665287,0.015628294677563888,0.03313480950624298,0.026948465320457665,0.014327519298989646,0.008335703954450796,0.006271890540603379,0.007813646766665246,0.012764977748485892,11.333101757918485,533.4973428499652,1
47,0,47,5,56,0.0041818806701260074,0.00385602383666933,0.015156337564661188,0.03200679661335186,0.025888875232046443,0.013827471691335167,0.008019469867508908,0.006032089054791942,0.007531955243161758,0.012298575907263269,11.33706066000741,544.8344923789846,1
48,0,48,5,56,0.004043879317576159,0.003722415301319447,0.01470417140874319,0.03091783500353146,0.024866550405060164,0.01334473315975477,0.0077152570159818145,0.005801439920642358,0.007260756140101538,0.011849642979821827,11.346799340914004,556.1813857969828,1
49,0,49,5,56,0.00391062860912435,0.003593434433107959,0.014271133911678663,0.029866629717761727,0.02388027645295948,0.01287875365930443,0.0074226480557495955,0.0055796480641093354,0.0069996806849665985,0.011417576424050795,11.337767918012105,567.5192426219583,1
50,0,50,5,56,0.00378198047847929,0.0034689424450904806,0.013856585086511938,0.0288519351124175,0.022928886461776373,0.01242900508098916,0.00714123125316782,0.005366417645439057,0.0067483640388899205,0.011001777094733937,11.342884024954401,578.8622199089732,1
51,0,51,5,56,0.0036577928142717746,0.0033488061490381475,0.013459906151683994,0.02787255287298919,0.022011259593248723,0.011994980209933713,0.00687060240626882,0.005161454483115671,0.006506447414364877,0.010601653378311275,11.334316583001055,590.1966263169888,1
52,0,52,5,56,0.003537929120057433,0.003232897672038806,0.013080498428787462,0.026927330133298722,0.021126319757872866,0.011576191781213399,0.006610366269217755,0.004964467915492294,0.006273579662728206,0.010216624329138103,11.343824094044976,601.5405393720139,1
53,0,53,5,56,0.00342225821076117,0.0031210942019028283,0.012717782253806762,0.02601515769064368,0.020273034360320522,0.011172171617760419,0.006360137582942379,0.004775172213623933,0.006049418437675122,0.009846122007726063,11.339109483058564,612.87973874202,1
54,0,54,5,56,0.003310653938964915,0.0030132777559781776,0.012371195910481343,0.025134968308466184,0.019450413118825373,0.010782469837672247,0.006119541793934028,0.00459328763624741,0.0058336310210933915,0.00948959318310535,11.334588986006565,624.2144173919223,1
55,0,55,5,56,0.0032029949457093266,0.002909334968941574,0.012040194593431674,0.024285735099064103,0.018657506959418063,0.010406654120499119,0.005888215526703833,0.004418541199831495,0.005625894880391133,0.009146500528872423,11.348293861025013,635.5628010949586,1
56,0,56,5,56,0.003099164431474758,0.002809156895875243,0.011724249407919475,0.02346646997959545,0.017893406985236587,0.010044309023833204,0.0056658068623943484,0.004250667222385014,0.0054258980133953215,0.008816323417683881,11.330314261023887,646.8932065579575,1
57,0,57,5,56,0.002999049943787707,0.0027126388275122443,0.011422846412496874,0.022676222195214178,0.01715724352050882,0.00969503534287225,0.0054519754653534905,0.0040894076879722865,0.005233339125938503,0.008498558398281394,11.318913634982891,658.2122093419312,1
58,0,58,5,56,0.002902543178517679,0.002619680114977263,0.011135485710273124,0.0219140769036466,0.016448185228151085,0.00935844950667471,0.005246392591095196,0.0039345124696227715,0.005047927678403295,0.008192719422602794,11.324682696023956,669.5369811590062,1
59,0,59,5,56,0.002809539792420047,0.0025301840016919873,0.010861680594035354,0.021179153815895378,0.015765438299194804,0.009034183005621053,0.00504874100248389,0.0037857394409741584,0.004869383830455862,0.007898337877366811,11.330418471014127,680.867500153021,1
60,0,60,5,56,0.002719939224873869,0.0024440574603811845,0.010600956749959433,0.020470605888061568,0.015108245711387929,0.008721881845200003,0.004858714815567469,0.003642854500953927,0.004697438307470422,0.0076149624638224235,11.329625899903476,692.1972153839888,1
61,0,61,5,56,0.0026336445270811887,0.0023612110333239454,0.010352851524102613,0.01978761805952306,0.014475886553254757,0.008421206021682916,0.004676019291843256,0.0035056315307446947,0.004531832207450164,0.007342158960715929,11.339250528020784,703.5365540590137,1
62,0,62,5,56,0.0025505621972541277,0.002281558674161172,0.010116913255254073,0.019129406032902772,0.01386767540856493,0.00813182901556207,0.004500370590928382,0.003373852298886902,0.004372316763554586,0.007079509898614861,11.338933850056492,714.8755751359276,1
63,0,63,5,56,0.0024706020205318923,0.00220501758970907,0.009892700677016737,0.01849521509142449,0.013282961794477988,0.007853437298831211,0.0043314954942517145,0.003247306326816545,0.004218653074283447,0.00682661416812735,11.333536752965301,726.209209506982,1
64,0,64,5,56,0.002393676912553612,0.0021315080803506288,0.009679782391196915,0.017884318949389567,0.012721129644509499,0.007585729852294148,0.0041691311083996725,0.003125790724812,0.004070611810933605,0.006583086580006125,11.335417942027561,737.5447175479494,1
65,0,65,5,56,0.0023197027657737104,0.0020609533776940795,0.009477736413686967,0.017296018631625984,0.012181596824798156,0.007328417689110204,0.004013024555107022,0.0030091100064081225,0.003927972909970618,0.00634855739155574,11.364931805990636,748.9097394619603,1
66,0,66,5,56,0.0022485982977515076,0.001993279478309716,0.009286149793052659,0.016729641377872476,0.01166381466884328,0.007081223380732799,0.003862932653140652,0.0028970758874849053,0.0037905252563894803,0.0061226718107972615,11.335911003989168,760.245740466984,1
67,0,67,5,56,0.0021802849007833457,0.0019284149724940272,0.009104618300999814,0.016184539568172413,0.011167267511812158,0.00684388058127583,0.0037186215964124755,0.0027895070751155853,0.003658066362786246,0.005905089487408178,11.322260473039933,771.5680909359362,1
68,0,68,5,56,0.002114686492377873,0.0018662908671725066,0.008932746192818631,0.01566008966547393,0.010691472200584345,0.006616133546156207,0.003579866631694526,0.002686229050175037,0.0035304020479191268,0.005695483997674562,11.340735701960512,782.9089183550095,1
69,0,69,5,56,0.0020517293662077095,0.0018068404022481962,0.008770146034822223,0.01515569117177776,0.010235977549821109,0.006397736640615792,0.0034464517384525523,0.0025870738467778,0.0034073461176304947,0.0054935423290277795,11.32894497003872,794.2379540799884,1
70,0,70,5,56,0.0019913420433075027,0.0017499988599414412,0.008616438594742563,0.014670765594349428,0.009800363707480267,0.006188453833431914,0.0033181693128735584,0.002491879831062592,0.0032887200503569154,0.005298964368578335,11.345122520928271,805.5831653069472,1
71,0,71,5,56,0.0019334551234307961,0.0016957033669523192,0.008471252790059234,0.014204755418734158,0.009384241385369385,0.00598805817079347,0.0031948198575657226,0.0024004914811942978,0.0031743526889207612,0.005111462398969895,11.337287037051283,816.9205445470288,1
72,0,72,5,56,0.001878001136627968,0.001643892689617212,0.00833422568835044,0.013757123085586288,0.008987250901689614,0.00579633122497277,0.0030762116781180722,0.00231275917009631,0.0030640799398625198,0.004930760604218875,11.335328634944744,828.2559648909373,1
73,0,73,5,56,0.0018249143952653473,0.001594507022626019,0.008205002553004777,0.01332734996867191,0.008609060973391525,0.00561306251209771,0.002962160587323294,0.0022285389520072013,0.002957744481221735,0.004756594587373806,11.335950815002434,839.59200546192,1
74,0,74,5,56,0.0017741308468704603,0.0015474877723141611,0.008083236927044057,0.012914935351826314,0.008249367187097886,0.005438048873077041,0.0028524896176922976,0.002147692353735661,0.002855195479375738,0.004588710901425532,11.335817797924392,850.9279123980086,1
75,0,75,5,56,0.0017255879283579573,0.0015027773360391085,0.007968590747403928,0.0125193954031664,0.007907890069236118,0.005271093811637317,0.0027470287426172653,0.00207008617120713,0.0027562883153905184,0.004426866594488316,11.329947117017582,862.257946979953,1
76,0,76,5,56,0.0016792244223630503,0.0014603188796797261,0.007860734481811765,0.012140262145475708,0.007584372670136083,0.005112006783603956,0.0026456146064626315,0.0019955922717658794,0.002660884321085618,0.004270828769848913,11.330396663979627,873.588436244987,1
77,0,77,5,56,0.0016349803165775288,0.0014200561158422178,0.007759347280396192,0.011777082422407764,0.007278577574927765,0.004960602432153299,0.002548090263678448,0.0019240874025220293,0.002568850524929517,0.00412037416130407,11.33171288005542,884.9202394789318,1
78,0,78,5,56,0.0015927966671449299,0.001381933085892752,0.007664117134353752,0.011429416860995934,0.006990283258313624,0.004816699764968638,0.002454304927004592,0.0018554530049450341,0.0024800594077561194,0.003975288723961612,11.341567597934045,896.26190507703,1
79,0,79,5,56,0.0015526154673157658,0.0013458939494330815,0.007574741034372713,0.011096838831907423,0.006719279713277455,0.004680121271267336,0.0023641137246553064,0.0017895750357864268,0.002394388668205099,0.0038353672404956344,11.339322439976968,907.6013226859504,1
80,0,80,5,56,0.0015143795226866823,0.0013118827852560567,0.00749092512205226,0.010778933409939582,0.006465363308272752,0.004550691979763972,0.0022773774663957537,0.001726343794353663,0.0023117209977353056,0.003700412942749896,11.335371214081533,918.9368003529962,1
81,0,81,5,56,0.0014780323344377169,0.0012798434081231708,0.007412384828230041,0.010475296338399153,0.006228330865908572,0.00442823846299166,0.0021939624184136993,0.0016656537561562745,0.0022319438650183557,0.003570237148488099,11.324888334027492,930.2617780709406,1
82,0,82,5,56,0.001443517992033278,0.0012497192058582754,0.007338844992912225,0.01018553300221929,0.006007973010236568,0.004312587799137139,0.002113740086667042,0.0016074034127762685,0.002154949309430961,0.003444658912929308,11.320135944057256,941.5820050620241,1
83,0,83,5,56,0.001410781076856591,0.001221453001213453,0.007270039962355972,0.00990925741590986,0.005804066899347058,0.004203566509595736,0.0020365870086619035,0.0015514951179520426,0.0020806337434367086,0.0033235046948025546,11.318525408045389,952.900620816974,1
84,0,84,5,56,0.0013797665781971004,0.0011949869427075718,0.007205713659750211,0.009646091233669768,0.005616368542356701,0.00410099949850732,0.0019623845532623307,0.0014978349396657952,0.0020088977635265752,0.0032066080364550917,11.327374118962325,964.2280866180081,1
85,0,85,5,56,0.0013504198229024418,0.0011702624281496581,0.0071456196268467175,0.009395662790155163,0.005444604988833536,0.00400470902895097,0.0018910187284041633,0.0014463325181444868,0.0019396459694376086,0.0030938092575905143,11.334770997054875,975.5629507349804,1
86,0,86,5,56,0.0013226864198378305,0.001147220063836452,0.007089521034779136,0.00915760618143903,0.005288466764251911,0.0039145137782433765,0.0018223799964095808,0.0013969009295939834,0.0018727867913551255,0.0029849551622457018,11.337519081076607,986.9005644440185,1
87,0,87,5,56,0.0012965122200673815,0.001125799661474539,0.007037190663149156,0.00893156039654242,0.005147600993894503,0.003830228020585613,0.0017563630966676098,0.0013494565555000355,0.0018082323247778011,0.002879898758461163,11.339208481018431,998.2398653390119,1
88,0,88,5,56,0.0012718432933893733,0.0011059402737597116,0.006988410847234683,0.008717168510501772,0.005021605694714958,0.003751660987670758,0.0016928668753867853,0.0013039189573121877,0.0017458981727539085,0.002778498990262637,11.336127493996173,1009.576087357942,1
89,0,89,5,56,0.001248625921527263,0.0010875802683018888,0.006942973393869776,0.008514076950183228,0.004910025706140125,0.003678616455461487,0.001631794122222712,0.0012602107563487153,0.0016857032951775913,0.0026806204814064875,11.336665495065972,1020.9128442549845,1
90,0,90,5,56,0.0012268066079134494,0.0010706574382845996,0.0069006794671490615,0.008321934843911496,0.004812350667399916,0.00361089259732919,0.0015730514134572355,0.001218257518711575,0.0016275698648534934,0.0025861332904953643,11.343321075895801,1032.2562558469363,1
91,0,91,5,56,0.001206332103616632,0.001055109146968446,0.00686133944561462,0.008140393465390444,0.004728015329602629,0.003548282130084386,0.0015165489615480373,0.001177987645054673,0.0015714231300504025,0.002494912676951444,11.336616676999256,1043.592966821976,1
92,0,92,5,56,0.0011871494485732597,0.001040872501969785,0.006824772752989151,0.007969105781330078,0.004656402324559805,0.003490572761132033,0.0014622004707380933,0.0011393322649931434,0.0015171912832390353,0.0024068388774501786,11.337784363073297,1054.9308435679413,1
93,0,93,5,56,0.0011692060269066888,0.0010278845542412512,0.006790807664828437,0.0078077261106535316,0.004596847318462364,0.00343754792405953,0.0014099229985567925,0.0011022251359945536,0.0014648053357646544,0.002321796892305917,11.345870670047589,1066.2768053900218,1
94,0,94,5,56,0.001152449634771234,0.0010160825159126132,0.006759281093681782,0.007655909901157034,0.0045486462830737085,0.003388987769106922,0.0013596368229093158,0.0010666025465431626,0.0014141989981708522,0.002239676281449997,11.334862562944181,1077.6117669069208,1
95,0,95,5,56,0.001136828558859705,0.0010054039906599863,0.006730038355481508,0.007513313627092983,0.0045110644480309756,0.003344670357032087,0.0013112653145801543,0.001032403223413575,0.0013653085659402074,0.002160370969557652,11.33183646807447,1088.9436940589221,1
96,0,96,5,56,0.0011222916634751235,0.0009957872100815972,0.006702932919938152,0.0073795948084183815,0.004483346378697881,0.003304372992268347,0.0012647348149231786,0.0009995682428684876,0.001318072810390185,0.002083779059918535,11.37761344097089,1100.3214022009633,1
97,0,97,5,56,0.001108788483900849,0.0009871712696650553,0.006677826147708048,0.007254412149511484,0.004464726569020676,0.0032678736254191203,0.0012199745184999578,0.000968040945597722,0.0012724328744890172,0.0020098026566581256,11.437266207067296,1111.7587600849802,1
98,0,98,5,56,0.001096269323715071,0.0009794963583126138,0.006654587017034722,0.007137425792135434,0.0044544399504281495,0.0032349522562840427,0.0011769163605150458,0.0009377668552341248,0.0012283321733814099,0.0019383476949831392,11.376184260006994,1123.1350502549903,1
99,0,99,5,56,0.0010846853536864598,0.0009727039760049423,0.006633091842454952,0.0070282976744636795,0.004451731787236286,0.0032053922758613993,0.0011354949087919518,0.0009086936002653496,0.0011857162993880264,0.0018693237790126866,11.34026387205813,1134.475408665021,1
100,0,100,5,56,0.001073988709956224,0.0009667371349764098,0.006613223988014621,0.0069266919852227936,0.004455866539555196,0.0031789816974104323,0.0010956472601513622,0.0008807708391813174,0.0011445329312861467,0.0018026440269289007,11.343301035929471,1145.8188029800076,1
101,0,101,5,56,0.0010641325893499954,0.0009615405406859459,0.006594873577267326,0.006832275699590549,0.004466135406179987,0.0031555142406129947,0.001057312940985041,0.000853950188688564,0.0011047317476646258,0.0017382249230796464,11.342502356041223,1157.1614118670113,1
102,0,102,5,56,0.0010550713398624766,0.000957060749834819,0.006577937202139567,0.0067447191815329715,0.004481862393118996,0.003134790247162492,0.0010204338118665448,0.0008281851548342957,0.0010662643441696085,0.0016759861767012415,11.343180513940752,1168.504689436988,1
103,0,103,5,56,0.0010467605446048544,0.0009532463036496656,0.006562317632545376,0.00666369683586048,0.004502408873087122,0.00311661741914928,0.0009849539760095577,0.000803431066881587,0.0010290841544542452,0.0016158505869931514,11.33403670298867,1179.8388197929598,1
104,0,104,5,56,0.0010391570977865187,0.0009500478355670422,0.006547923528429231,0.006588887792492865,0.0045271766978544035,0.003100811382388288,0.0009508196914423167,0.0007796450137875778,0.0009931463746692536,0.0015577439142351911,11.336962776025757,1191.175877513946,1
105,0,105,5,56,0.001032219271604349,0.0009474181532850951,0.006534669155711868,0.006519976605262911,0.004555609994741943,0.0030871960848899297,0.0009179792867119731,0.0007567857831367691,0.0009584078913228569,0.0015015947566777413,11.344325858983211,1202.5202975820284,1
106,0,106,5,56,0.0010259067732207973,0.0009453122958642466,0.006522474107415101,0.0064566539480438515,0.004587195821262568,0.003075604046015686,0.000886383080015638,0.0007348138023877491,0.0009248272123530976,0.0014473344329188269,11.337517010048032,1213.857914726017,1
107,0,107,5,56,0.0010201807913136564,0.0009436875671447538,0.006511263031051063,0.006398617292005141,0.0046214638713966685,0.0030658764747985914,0.0008559833015619156,0.0007136910823026055,0.0008923644012687877,0.0013948968695528554,11.328616840066388,1225.1866248359438,1
108,0,108,5,56,0.0010150040319654374,0.0009425035472010537,0.006500965363181471,0.006345571549304186,0.004657985428285165,0.0030578632769254262,0.0008267340190744394,0.0006933811624227564,0.0008609810142133403,0.0013442184938037348,11.33038622001186,1236.5171056960244,1
109,0,109,5,56,0.0010103407439197797,0.0009417220838744323,0.006491515071885079,0.006297229670408432,0.004696371746554887,0.003051422969490544,0.0007985910662869873,0.0006738490584750366,0.0008306400398195683,0.0012952381309674435,11.340715868049301,1247.8579222649569,1
110,0,110,5,56,0.001006156733460553,0.0009413072666261838,0.006482850407717402,0.006253313184400779,0.004736272027949418,0.0030464225213217566,0.0007715119743026374,0.0006550612115862487,0.0008013058417221294,0.0012478969063811805,11.345147692947648,1259.2031625569798,1
111,0,111,5,56,0.0010024193693621574,0.0009412253850483463,0.006474913663606945,0.006213552673933507,0.004777371130415132,0.0030427371348453677,0.0007454559057059053,0.0006369854392010362,0.0007729441036088383,0.001202138151766706,11.339653533999808,1270.5429097509477,1
112,0,112,5,56,0.0009990975785155623,0.0009414448743743787,0.00646765094400603,0.006177688178853049,0.004819387126270249,0.003040249983402271,0.0007203835913120137,0.0006195908875954991,0.0007455217766968237,0.0011579073157097848,11.335924971965142,1281.8789285050007,1
113,0,113,5,56,0.0009961618329538387,0.0009419362502657187,0.006461011943502755,0.00614546952481681,0.0048620688015857914,0.0030388519158598176,0.0006962572694474107,0.0006028479858939263,0.0007190070295160221,0.0011151518781029285,11.324522736016661,1293.2035564240068,1
